,Number,title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
83,84,All Right,Christopher Cross,adult standards,1983,133,0.65,0.71,-5,0.23,0.5,254000,0.17,0.04,63
84,85,Biggest Part of Me,Ambrosia,adult standards,1980,153,0.72,0.5,-8,0.35,0.88,324000,0.24,0.05,63
85,86,Save a Prayer - 2009 Remaster,Duran Duran,dance rock,1982,114,0.71,0.57,-9,0.16,0.67,333000,0.35,0.03,62
86,87,Baby Come To Me,Patti Austin,adult standards,1981,90,0.5,0.63,-12,0.14,0.7,215000,0.55,0.08,62
87,88,Fame - Rerecorded,Irene Cara,dance rock,2018,131,0.8,0.71,-7,0.08,0.94,319000,0.07,0.03,62
88,89,Hard Habit to Break - 2006 Remaster,Chicago,adult standards,1984,81,0.61,0.58,-6,0.17,0.4,284000,0.45,0.03,61
89,90,Rock You Like a Hurricane,Scorpions,album rock,2017,124,0.83,0.58,-6,0.32,0.67,254000,0.0,0.04,61
90,91,When the Children Cry,White Lion,album rock,1987,130,0.24,0.49,-14,0.07,0.38,259000,0.67,0.03,61
91,92,Is This Love - 2017 Remaster,Whitesnake,album rock,1987,180,0.79,0.33,-7,0.12,0.53,285000,0.11,0.04,60
92,93,I Knew You Were Waiting (For Me),George Michael,new wave pop,1986,108,0.68,0.73,-11,0.31,0.68,242000,0.27,0.04,60
93,94,You Keep Me Hangin On,Kim Wilde,dance pop,1986,123,0.68,0.69,-12,0.14,0.71,255000,0.08,0.03,60
94,95,Dancing with Tears in My Eyes,Ultravox,art rock,1984,144,0.91,0.59,-8,0.6,0.93,244000,0.15,0.04,59
95,96,In The Army Now,Status Quo,album rock,2002,105,0.73,0.68,-8,0.14,0.94,281000,0.11,0.02,59
96,97,Here I Go Again - 2017 Remaster,Whitesnake,album rock,1987,90,0.85,0.38,-6,0.09,0.27,276000,0.15,0.04,58
97,98,Holiday,Madonna,dance pop,1983,118,0.7,0.81,-9,0.05,0.73,232000,0.03,0.05,58
98,99,I Think We're Alone Now,Tiffany,new wave pop,2008,130,0.89,0.65,-5,0.09,0.7,227000,0.0,0.04,58
99,100,"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,jazz fusion,1991,191,0.39,0.41,-17,0.1,0.4,215000,0.42,0.03,58
100,101,Cold as Ice - 2008 Remaster,Foreigner,album rock,2008,131,0.71,0.55,-5,0.14,0.51,200000,0.06,0.03,57
101,102,Zulu Nation Throw Down,Afrika Bambaataa,bronx hip hop,2015,108,0.95,0.85,-4,0.1,0.91,433000,0.76,0.19,50
102,103,It's Only Love - 2008 Remaster,Simply Red,british soul,2008,92,0.88,0.67,-5,0.04,0.75,299000,0.51,0.04,50
103,104,Lucky Star,Madonna,dance pop,1983,117,0.81,0.8,-5,0.22,0.93,338000,0.2,0.04,46
104,105,Romeo - 2014 Remaster,Donna Summer,dance pop,1996,141,0.85,0.85,-8,0.11,0.96,199000,0.03,0.04,43
0,1,No Scrubs,TLC,atl hip hop,1999,93,0.68,0.74,-4,0.07,0.59,214000,0.03,0.1,79
1,2,I Want It That Way,Backstreet Boys,boy band,2001,99,0.7,0.69,-6,0.16,0.48,214000,0.22,0.03,76
2,3,It Wasn't Me,Shaggy,dance pop,2000,95,0.61,0.85,-5,0.31,0.65,228000,0.06,0.07,76
3,4,"Because You Loved Me (Theme from ""Up Close and Personal"")",C̩line Dion,canadian pop,1996,120,0.47,0.61,-10,0.1,0.18,274000,0.31,0.03,74
4,5,Big Poppa - 2005 Remaster,The Notorious B.I.G.,east coast hip hop,1994,84,0.58,0.78,-7,0.14,0.76,253000,0.43,0.27,74
5,6,I Got 5 On It,Luniz,g funk,1995,174,0.71,0.6,-8,0.13,0.58,254000,0.21,0.36,73
6,7,Boom Boom Boom Boom!!,Vengaboys,bubblegum dance,2000,138,0.89,0.8,-7,0.03,0.97,202000,0.01,0.04,73
7,8,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,108,0.85,0.73,-4,0.27,0.61,225000,0.04,0.04,73
8,9,Bed Of Roses,Bon Jovi,glam metal,1992,165,0.6,0.31,-6,0.21,0.16,394000,0.1,0.03,73
9,10,Don't Look Back in Anger - Remastered,Oasis,britpop,1995,163,0.94,0.33,-3,0.15,0.33,290000,0.07,0.06,73
10,11,Always Be My Baby,Mariah Carey,dance pop,1995,79,0.53,0.65,-8,0.25,0.49,258000,0.46,0.04,73
11,12,Angels,Robbie Williams,dance pop,1997,150,0.59,0.43,-6,0.1,0.24,265000,0.16,0.03,73
12,13,Return of the Mack,Mark Morrison,british soul,1996,95,0.83,0.72,-5,0.16,0.61,213000,0.01,0.11,72
13,14,Pony,Ginuwine,dance pop,1999,142,0.61,0.75,-9,0.12,0.97,252000,0.0,0.09,72
14,15,Freed From Desire,Gala,eurodance,2007,129,0.86,0.7,-4,0.1,0.64,213000,0.59,0.05,71
15,16,Better Off Alone,Alice DJ,europop,2000,137,0.82,0.67,-9,0.29,0.76,218000,0.0,0.06,71
16,17,Hero,Mariah Carey,dance pop,1993,120,0.38,0.5,-9,0.12,0.18,258000,0.74,0.03,71
17,18,End Of The Road,Boyz II Men,boy band,1991,150,0.43,0.64,-9,0.06,0.53,351000,0.07,0.02,71
18,19,I'll Be Missing You (feat. 112),Diddy,dance pop,2004,110,0.48,0.86,-9,0.59,0.93,302000,0.05,0.06,71
19,20,Forgot About Dre,Dr. Dre,g funk,1999,134,0.74,0.92,-1,0.16,0.62,222000,0.08,0.08,71
20,21,Fantasy,Mariah Carey,dance pop,1995,102,0.73,0.67,-8,0.12,0.8,243000,0.14,0.04,70
21,22,Sandstorm,Darude,eurodance,2000,136,0.97,0.53,-8,0.08,0.59,225000,0.14,0.05,70
22,23,Who Am I (What's My Name)?,Snoop Dogg,g funk,1993,97,0.83,0.69,-4,0.52,0.69,246000,0.0,0.05,70
23,24,Mr. Vain - Original Radio Edit,Culture Beat,bubblegum dance,1993,133,1.0,0.7,-8,0.12,0.39,257000,0.07,0.04,69
24,25,Spending My Time,Roxette,europop,1991,171,0.57,0.42,-5,0.13,0.22,276000,0.24,0.03,69
25,26,Let's Get Loud,Jennifer Lopez,dance pop,1999,131,0.94,0.82,-5,0.35,0.91,239000,0.14,0.06,69
26,27,The Rhythm of the Night,Corona,bubblegum dance,1994,128,0.81,0.69,-12,0.1,0.8,264000,0.0,0.03,69
27,28,The Power of Love,C̩line Dion,canadian pop,1993,140,0.52,0.55,-9,0.24,0.25,342000,0.36,0.03,68
28,29,Narcotic - Radio Edit,Liquido,german alternative rock,1998,102,0.61,0.62,-7,0.09,0.45,236000,0.0,0.02,68
29,30,Miami,Will Smith,hip hop,1997,108,0.53,0.88,-6,0.04,0.89,198000,0.03,0.15,68
30,31,Hypnotize - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,94,0.69,0.9,-4,0.29,0.63,230000,0.18,0.28,68
31,32,3AM,Matchbox Twenty,neo mellow,1996,108,0.67,0.52,-9,0.12,0.54,226000,0.01,0.03,68
32,33,High,Lighthouse Family,europop,1997,102,0.63,0.66,-9,0.13,0.59,308000,0.11,0.03,68
33,34,L'Amour Toujours,Gigi D'Agostino,eurodance,2011,139,0.73,0.62,-8,0.36,0.81,239000,0.03,0.03,67
34,35,"Rhythm Is A Dancer - 7"" Edit",SNAP!,diva house,1992,124,0.75,0.79,-11,0.14,0.71,226000,0.27,0.04,67
35,36,Say My Name,Destiny's Child,dance pop,1999,67,0.68,0.52,-4,0.13,0.75,271000,0.27,0.16,67
36,37,Heal the World,Michael Jackson,pop,1991,81,0.49,0.53,-8,0.1,0.1,384000,0.54,0.05,67
37,38,The Boy Is Mine,Brandy,dance pop,1998,93,0.71,0.7,-7,0.32,0.76,295000,0.54,0.04,66
38,39,Weak,SWV,dance pop,1992,128,0.53,0.69,-11,0.07,0.57,292000,0.11,0.04,66
39,40,Walking in Memphis,Cher,dance pop,1995,129,0.68,0.7,-7,0.17,0.53,235000,0.59,0.03,66
40,41,Angel of Mine - Radio Mix,Monica,dance pop,1998,90,0.56,0.59,-7,0.22,0.21,250000,0.0,0.02,66
41,42,Picture Of You,Boyzone,boy band,1997,117,0.92,0.76,-6,0.37,0.88,206000,0.1,0.04,65
42,43,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",C̩line Dion,canadian pop,1992,77,0.4,0.46,-10,0.13,0.12,249000,0.64,0.03,65
43,44,Run To You,Bryan Adams,album rock,1984,127,0.81,0.56,-6,0.29,0.64,233000,0.01,0.03,65
44,45,No Matter What,Boyzone,boy band,1998,93,0.42,0.7,-9,0.14,0.53,274000,0.19,0.02,65
45,46,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,bubblegum dance,1998,128,0.97,0.82,-11,0.39,0.77,284000,0.26,0.06,64
46,47,Dreams,Gabrielle,british soul,1993,99,0.47,0.75,-14,0.22,0.57,223000,0.17,0.04,64
47,48,Fading Like a Flower (Every Time You Leave),Roxette,europop,1991,105,0.67,0.61,-6,0.22,0.32,231000,0.2,0.03,64
48,49,It's Not Right But It's Okay,Whitney Houston,dance pop,1998,128,0.8,0.81,-7,0.07,0.53,292000,0.16,0.1,64
49,50,Stay Another Day,East 17,boy band,1994,128,0.49,0.52,-8,0.19,0.44,267000,0.58,0.03,63
50,51,A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,1993,108,0.32,0.52,-10,0.14,0.13,243000,0.63,0.03,63
51,52,Encore Une Fois - Future Breeze Edit,Sash!,bubblegum dance,1997,133,0.93,0.66,-7,0.19,0.84,221000,0.01,0.04,62
52,53,Incomplete,Sisqo,dance pop,1999,119,0.44,0.75,-8,0.14,0.27,274000,0.28,0.08,62
53,54,Sweet Dreams,La Bouche,bubblegum dance,2007,134,0.96,0.66,-6,0.09,0.83,205000,0.08,0.05,62
54,55,Juicy - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,96,0.82,0.87,-5,0.15,0.79,301000,0.48,0.26,62
55,56,Mysterious Girl - Radio Edit,Peter Andre,europop,2004,172,0.82,0.66,-6,0.3,0.86,217000,0.14,0.21,62
56,57,It's Gonna Be Me,*NSYNC,boy band,2000,165,0.87,0.64,-5,0.06,0.88,191000,0.05,0.08,62
57,58,I Have Nothing - Film Version,Whitney Houston,dance pop,2017,153,0.45,0.49,-9,0.09,0.17,296000,0.76,0.03,61
60,61,Relight My Fire (feat. Lulu),Take That,boy band,1993,123,0.94,0.65,-7,0.1,0.93,252000,0.04,0.05,61
61,62,Get A Way,Maxx,bubblegum dance,1994,133,0.86,0.85,-10,0.05,0.6,227000,0.03,0.04,60
62,63,More And More - Single Version,Captain Hollywood Project,bubblegum dance,1993,126,0.85,0.66,-12,0.09,0.71,254000,0.23,0.03,60
63,64,Free - Mood II Swing Radio Edit,Ultra Nat̩,deep house,1997,125,0.92,0.76,-6,0.04,0.74,233000,0.0,0.04,60
64,65,"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,glam rock,1994,161,0.39,0.3,-15,0.11,0.14,292000,0.26,0.03,59
65,66,Please Don't Go,Double You,eurodance,1992,120,0.84,0.71,-12,0.03,0.49,200000,0.06,0.04,59
66,67,Piu bella cosa,Eros Ramazzotti,italian pop,2014,110,0.79,0.67,-5,0.11,0.62,265000,0.08,0.03,58
67,68,When the Heartache Is Over,Tina Turner,disco,1999,115,0.77,0.69,-6,0.07,0.43,224000,0.01,0.03,58
68,69,Bailando,Paradisio,bubblegum dance,1997,133,0.94,0.65,-9,0.12,0.84,229000,0.08,0.04,58
69,70,Let There Be Love - 2002 Digital Remaster,Simple Minds,art rock,1991,88,0.88,0.49,-6,0.13,0.6,309000,0.08,0.04,57
70,71,I Will Always Love You - Film Version,Whitney Houston,dance pop,2017,133,0.28,0.34,-10,0.1,0.12,275000,0.61,0.04,57
71,72,I'll Be There,Mariah Carey,dance pop,1998,82,0.51,0.41,-10,0.93,0.3,264000,0.7,0.03,56
72,73,Don't Stop,ATB,german dance,1999,134,0.94,0.71,-5,0.32,0.57,221000,0.15,0.04,56
73,74,Das Boot,U96,bubble trance,1992,123,0.88,0.64,-8,0.25,0.33,314000,0.01,0.07,56
74,75,Hold On My Heart - 2007 Digital Remaster,Genesis,album rock,1991,172,0.36,0.46,-13,0.07,0.27,278000,0.61,0.03,56
75,76,Real Real Gone,Van Morrison,classic rock,1990,142,0.85,0.7,-7,0.19,0.95,221000,0.38,0.03,56
76,77,King Of My Castle - Roy Malone's King Mix,Wamdue Project,disco house,2009,125,0.54,0.87,-9,0.06,0.76,299000,0.04,0.08,55
77,78,Be With You,Enrique Iglesias,dance pop,1999,122,0.87,0.68,-5,0.05,0.54,219000,0.04,0.03,55
79,80,Have You Ever - Radio Edit,Brandy,dance pop,2005,134,0.48,0.68,-7,0.3,0.23,215000,0.6,0.04,54
80,81,Gangsta's Paradise,Coolio,g funk,1995,80,0.63,0.64,-6,0.4,0.42,242000,0.04,0.05,54
81,82,Show Me Love,Robin S,disco house,2017,120,0.72,0.82,-6,0.08,0.56,254000,0.01,0.13,53
82,83,When I Look Into Your Eyes,Firehouse,album rock,2010,147,0.61,0.39,-8,0.16,0.25,240000,0.0,0.03,53
83,84,Insomnia - Radio Edit,Faithless,big beat,2010,127,0.92,0.71,-9,0.37,0.53,216000,0.06,0.04,50
84,85,If You Ever,East 17,boy band,1996,140,0.68,0.58,-9,0.31,0.57,255000,0.18,0.03,48
85,86,Pump Up The Jam,Technotronic,eurodance,2019,125,0.84,0.89,-9,0.05,0.72,320000,0.01,0.07,46
86,87,Doin' It,LL Cool J,east coast hip hop,1996,95,0.53,0.81,-12,0.12,0.62,294000,0.34,0.19,46
87,88,Please Forgive Me,Bryan Adams,album rock,2005,67,0.46,0.53,-7,0.1,0.15,356000,0.5,0.03,43
0,1,In the End,Linkin Park,alternative metal,2000,105,0.86,0.56,-6,0.21,0.4,217000,0.01,0.06,83
1,2,The Scientist,Coldplay,permanent wave,2002,146,0.44,0.56,-7,0.11,0.21,310000,0.73,0.02,83
2,3,Numb,Linkin Park,alternative metal,2003,110,0.86,0.5,-4,0.64,0.24,186000,0.0,0.04,81
3,4,Fix You,Coldplay,permanent wave,2005,138,0.42,0.21,-9,0.11,0.12,296000,0.16,0.03,81
4,5,Umbrella,Rihanna,barbadian pop,2008,174,0.83,0.58,-5,0.04,0.57,276000,0.01,0.13,80
5,6,Stronger,Kanye West,chicago rap,2007,104,0.72,0.62,-8,0.41,0.49,312000,0.01,0.15,80
6,7,The Real Slim Shady,Eminem,detroit hip hop,2000,105,0.66,0.95,-4,0.05,0.76,284000,0.03,0.06,80
7,8,Low (feat. T-Pain),Flo Rida,dance pop,2008,128,0.61,0.92,-6,0.14,0.3,231000,0.09,0.08,79
8,9,American Boy,Estelle,r&b,2008,118,0.73,0.73,-3,0.07,0.51,285000,0.17,0.33,79
9,10,Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,0.79,0.89,-5,0.04,0.58,250000,0.02,0.11,79
10,11,Hall of Fame,The Script,celtic rock,2012,85,0.87,0.42,-4,0.12,0.63,203000,0.07,0.06,78
11,12,Party In The U.S.A.,Miley Cyrus,dance pop,2009,96,0.7,0.65,-5,0.09,0.47,202000,0.0,0.04,78
12,13,Candy Shop,50 Cent,east coast hip hop,2005,125,0.57,0.61,-8,0.38,0.76,209000,0.03,0.47,78
13,14,Fireflies,Owl City,pop,2009,180,0.66,0.51,-7,0.12,0.46,228000,0.03,0.04,78
14,15,Dynamite,Taio Cruz,dance pop,2010,120,0.78,0.75,-4,0.04,0.82,203000,0.0,0.09,77
15,16,So Sick,Ne-Yo,dance pop,2006,93,0.57,0.45,-8,0.19,0.58,207000,0.25,0.31,77
16,17,Take A Bow,Rihanna,barbadian pop,2008,82,0.47,0.7,-8,0.09,0.57,229000,0.25,0.07,77
17,18,Dilemma,Nelly,dance pop,2002,168,0.55,0.73,-8,0.2,0.61,289000,0.23,0.14,77
18,19,I Gotta Feeling,The Black Eyed Peas,dance pop,2009,128,0.77,0.74,-6,0.51,0.61,289000,0.09,0.03,77
19,20,Halo,Beyonc̩,dance pop,2008,80,0.72,0.51,-6,0.06,0.47,262000,0.27,0.06,77
20,21,In Da Club,50 Cent,east coast hip hop,2003,90,0.71,0.9,-3,0.07,0.78,193000,0.26,0.37,77
21,22,Just the Way You Are,Bruno Mars,pop,2010,109,0.84,0.64,-5,0.09,0.43,221000,0.02,0.04,77
22,23,Crank That (Soulja Boy),Soulja Boy,atl hip hop,2007,140,0.74,0.74,-2,0.05,0.8,222000,0.52,0.08,76
23,24,Gasolina,Daddy Yankee,latin,2004,96,0.8,0.86,-6,0.08,0.75,193000,0.33,0.06,76
24,25,Let Me Love You,Mario,dance pop,2004,95,0.58,0.66,-9,0.12,0.56,257000,0.24,0.09,76
25,26,Don't Stop The Music,Rihanna,barbadian pop,2008,123,0.67,0.84,-6,0.05,0.54,267000,0.03,0.06,76
26,27,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2004,171,0.74,0.69,-5,0.34,0.06,322000,0.01,0.26,76
27,28,I Knew You Were Trouble.,Taylor Swift,dance pop,2012,77,0.47,0.62,-7,0.03,0.68,220000,0.0,0.04,75
28,29,Temperature,Sean Paul,dance pop,2005,125,0.6,0.95,-5,0.07,0.82,219000,0.11,0.07,75
29,30,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,0.37,0.48,-8,0.12,0.14,216000,0.74,0.03,75
30,31,Where Is The Love?,The Black Eyed Peas,dance pop,2003,94,0.69,0.84,-3,0.13,0.83,273000,0.1,0.18,75
31,32,Replay,Iyaz,dance pop,2009,91,0.75,0.71,-6,0.17,0.2,182000,0.17,0.07,74
32,33,Live Your Life (feat. Rihanna),T.I.,atl hip hop,2008,160,0.86,0.38,-3,0.21,0.48,339000,0.07,0.26,74
33,34,Grenade,Bruno Mars,pop,2010,110,0.56,0.71,-7,0.12,0.23,223000,0.15,0.06,74
34,35,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,126,0.82,0.65,-4,0.67,0.77,231000,0.0,0.04,74
35,36,Womanizer,Britney Spears,dance pop,2009,139,0.7,0.72,-5,0.09,0.24,224000,0.07,0.06,74
36,37,You Found Me,The Fray,modern rock,2009,152,0.8,0.34,-5,0.14,0.4,242000,0.02,0.04,74
37,38,One Tow Step (feat. Missy Elliot),Ciara,dance pop,2004,113,0.51,0.94,-11,0.04,0.84,204000,0.04,0.16,74
38,39,Smack That,Akon,dance pop,2006,119,0.74,0.94,-5,0.09,0.93,212000,0.32,0.05,73
39,40,Alors on danse,Stromae,belgian pop,2010,120,0.59,0.79,-9,0.07,0.71,206000,0.1,0.08,73
40,41,No Air (feat. Chris Brown),Jordin Sparks,dance pop,2007,160,0.76,0.47,-5,0.06,0.33,264000,0.05,0.2,73
41,42,We Are Never Ever Getting Back Together,Taylor Swift,dance pop,2012,86,0.68,0.63,-6,0.12,0.75,193000,0.01,0.09,73
42,43,Love Story,Taylor Swift,dance pop,2008,119,0.74,0.62,-4,0.08,0.31,236000,0.13,0.03,73
43,44,Pon de Replay,Rihanna,barbadian pop,2005,99,0.64,0.78,-8,0.1,0.5,247000,0.0,0.16,73
44,45,A Milli,Lil Wayne,hip hop,2008,151,0.7,0.67,-9,0.19,0.77,222000,0.04,0.28,73
45,46,U Remind Me,Usher,atl hip hop,2001,94,0.63,0.66,-5,0.25,0.73,267000,0.19,0.08,73
46,47,Right Round,Flo Rida,dance pop,2009,125,0.67,0.72,-7,0.23,0.71,205000,0.01,0.06,72
47,48,Because Of You,Ne-Yo,dance pop,2007,110,0.54,0.81,-6,0.1,0.83,267000,0.53,0.04,72
48,49,Call on Me - Radio Mix,Eric Prydz,big room,2004,126,0.84,0.6,-7,0.84,0.45,171000,0.0,0.38,72
49,50,Only Girl (In The World),Rihanna,barbadian pop,2010,126,0.72,0.79,-4,0.07,0.61,235000,0.13,0.04,72
50,51,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,2001,94,0.71,0.84,-5,0.11,0.92,267000,0.02,0.06,72
51,52,Pump It,The Black Eyed Peas,dance pop,2005,154,0.93,0.65,-3,0.75,0.74,213000,0.01,0.18,72
52,53,Break Your Heart,Taio Cruz,dance pop,2010,122,0.93,0.61,-4,0.09,0.57,202000,0.03,0.03,71
53,54,Numb / Encore,JAY-Z,east coast hip hop,2004,107,0.8,0.69,-4,0.55,0.8,205000,0.06,0.16,71
54,55,Hate That I Love You,Rihanna,barbadian pop,2008,94,0.73,0.64,-5,0.1,0.73,219000,0.32,0.09,71
55,56,Lollipop,Lil Wayne,hip hop,2008,148,0.43,0.83,-9,0.14,0.45,299000,0.06,0.08,71
56,57,Rockstar,Nickelback,alternative metal,2005,144,0.91,0.62,-3,0.34,0.69,252000,0.05,0.04,71
57,58,I Wanna Love You,Akon,dance pop,2006,100,0.45,0.87,-9,0.31,0.35,247000,0.04,0.04,70
58,59,Crush,David Archuleta,dance pop,2008,162,0.66,0.57,-5,0.07,0.49,214000,0.01,0.03,70
59,60,Apologize,Timbaland,dance pop,2007,118,0.6,0.66,-6,0.1,0.08,184000,0.04,0.03,70
60,61,7 Days,Craig David,british soul,2001,83,0.81,0.66,-7,0.1,0.89,235000,0.23,0.05,70
61,62,Broken Strings,James Morrison,neo mellow,2008,112,0.72,0.57,-5,0.08,0.32,250000,0.01,0.03,70
62,63,Bleeding Love,Leona Lewis,british soul,2007,104,0.65,0.64,-6,0.15,0.2,263000,0.19,0.04,70
63,64,In My Head,Jason Derulo,dance pop,2010,110,0.75,0.76,-4,0.35,0.85,199000,0.03,0.03,69
64,65,Ridin',Chamillionaire,dirty south rap,2005,143,0.8,0.79,-5,0.3,0.84,303000,0.19,0.1,69
65,66,Hot N Cold,Katy Perry,dance pop,2008,132,0.84,0.71,-4,0.07,0.86,220000,0.0,0.04,69
66,67,Breakeven,The Script,celtic rock,2008,94,0.7,0.63,-5,0.08,0.49,261000,0.14,0.02,68
67,68,Snap Yo Fingers,Youngbloodz,atl hip hop,2006,82,0.76,0.84,-5,0.29,0.63,274000,0.01,0.23,68
68,69,Boom Boom Pow,The Black Eyed Peas,dance pop,2009,130,0.86,0.87,-6,0.13,0.4,251000,0.13,0.07,68
69,70,Lady - Hear Me Tonight,Modjo,disco house,2001,126,0.81,0.72,-6,0.06,0.87,307000,0.01,0.04,68
70,71,Superstar,Jamelia,europop,2003,110,0.65,0.8,-7,0.04,0.82,215000,0.05,0.04,67
71,72,Love Lockdown,Kanye West,chicago rap,2008,120,0.52,0.76,-8,0.11,0.11,270000,0.05,0.03,67
72,73,The Tide Is High - Radio Mix,Atomic Kitten,bubblegum dance,2003,103,0.69,0.78,-3,0.03,0.64,205000,0.02,0.03,66
73,74,Release Me,Agnes,dance pop,2009,128,0.92,0.62,-3,0.11,0.72,256000,0.01,0.03,65
74,75,About You Now,Sugababes,bubblegum dance,2007,82,0.7,0.58,-6,0.49,0.59,212000,0.0,0.04,65
75,76,Pjanoo - Radio Edit,Eric Prydz,big room,2008,126,0.87,0.6,-5,0.11,0.84,157000,0.0,0.03,65
76,77,Let It Rock,Kevin Rudolf,dance pop,2008,113,0.78,0.61,-4,0.07,0.44,231000,0.0,0.04,65
77,78,Everytime We Touch - Radio Edit,Cascada,bubblegum dance,2011,142,0.98,0.64,-5,0.37,0.49,199000,0.0,0.06,64
78,79,Lean Back,Terror Squad,bronx hip hop,2004,127,0.92,0.8,-3,0.07,0.7,247000,0.11,0.47,64
79,80,TiK ToK,Kesha,dance pop,2014,120,0.67,0.75,-7,0.28,0.63,200000,0.06,0.12,63
80,81,All Rise,Blue,boy band,2001,98,0.74,0.72,-3,0.17,0.93,224000,0.12,0.03,63
81,82,Fergalicious,Fergie,dance pop,2006,129,0.58,0.91,-8,0.13,0.83,292000,0.06,0.32,63
82,83,Something,Lasgo,belgian dance,2001,140,0.98,0.64,-7,0.11,0.38,221000,0.03,0.04,63
83,84,When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,2009,130,0.86,0.66,-5,0.2,0.5,189000,0.01,0.03,63
84,85,Anyone Of Us (Stupid Mistake),Gareth Gates,europop,2002,107,0.72,0.7,-6,0.08,0.65,228000,0.28,0.03,61
85,86,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,2006,100,0.42,0.62,-7,0.12,0.29,203000,0.29,0.02,61
86,87,Thank God I Found You,Mariah Carey,dance pop,1999,130,0.53,0.47,-6,0.11,0.15,257000,0.59,0.03,61
87,88,Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,2009,130,0.3,0.96,-6,0.08,0.8,312000,0.02,0.13,60
88,89,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,0.82,0.75,-5,0.69,0.65,213000,0.15,0.06,60
89,90,Bump Bump Bump,B2K,boy band,2003,96,0.68,0.84,-6,0.05,0.89,283000,0.1,0.21,60
90,91,Beautiful Girls,Sean Kingston,dance pop,2014,118,0.64,0.54,-7,0.24,0.75,242000,0.14,0.09,60
91,92,I Know You Want Me (Calle Ocho),Pitbull,dance pop,2009,127,0.74,0.82,-6,0.24,0.8,237000,0.01,0.14,60
92,93,Leave The World Behind - Radio Edit,Axwell,big room,2009,128,0.85,0.53,-8,0.32,0.28,162000,0.0,0.05,58
93,94,D̩senchant̩e - Radio Edit,Kate Ryan,belgian pop,2008,140,0.94,0.52,-5,0.23,0.29,221000,0.17,0.07,57
94,95,Moving too fast - Radio Edit,Artful Dodger,uk garage,2012,127,0.51,0.84,-11,0.03,0.52,238000,0.09,0.05,57
95,96,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,east coast hip hop,2002,86,0.75,0.56,-4,0.64,0.49,324000,0.01,0.32,56
96,97,Knock You Down,Keri Hilson,dance pop,2009,155,0.88,0.59,-5,0.17,0.65,326000,0.01,0.16,56
97,98,Dragostea Din Tei - Italian Version,O-Zone,bubblegum dance,2010,130,0.89,0.67,-6,0.1,0.8,215000,0.04,0.03,44
98,99,What A Girl Wants - Eddie Arroyo Dance Radio Edit,Christina Aguilera,dance pop,1999,130,0.92,0.75,-7,0.07,0.66,244000,0.01,0.03,40
99,100,Impossible - Main,Shontelle,barbadian pop,2019,90,0.57,0.59,-5,0.11,0.51,226000,0.44,0.04,32
0,1,bad guy,Billie Eilish,electropop,2019,135,0.43,0.7,-11,0.1,0.56,194000,0.33,0.38,94
1,2,7 rings,Ariana Grande,dance pop,2019,140,0.32,0.78,-11,0.09,0.33,179000,0.59,0.33,90
2,3,Old Town Road - Remix,Lil Nas X,country rap,2019,136,0.62,0.88,-6,0.11,0.64,157000,0.05,0.1,89
3,4,Se̱orita,Shawn Mendes,canadian pop,2019,117,0.55,0.76,-6,0.08,0.75,191000,0.04,0.03,88
4,5,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,160,0.52,0.59,-6,0.13,0.13,218000,0.12,0.07,88
5,6,SAD!,XXXTENTACION,emo rap,2018,75,0.61,0.74,-5,0.12,0.47,167000,0.26,0.14,87
6,7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,90,0.52,0.76,-4,0.07,0.93,158000,0.53,0.06,86
7,8,God's Plan,Drake,canadian hip hop,2018,77,0.45,0.75,-9,0.55,0.36,199000,0.03,0.11,85
8,9,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,0.86,0.79,-3,0.08,0.59,215000,0.04,0.11,85
9,10,Thunder,Imagine Dragons,modern rock,2017,168,0.82,0.61,-5,0.15,0.29,187000,0.01,0.04,85
10,11,I Fall Apart,Post Malone,dfw rap,2016,144,0.54,0.56,-5,0.2,0.29,223000,0.07,0.04,84
