,Number,title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
29,30,Life in the Fast Lane - 2013 Remaster,Eagles,album rock,1976,110,0.76,0.67,-7,0.05,0.88,286000,0.1,0.07,72
30,31,Rock with You - Single Version,Michael Jackson,pop,1979,114,0.54,0.81,-13,0.16,0.85,221000,0.18,0.04,72
31,32,Another Brick In The Wall Pt. 2 - 2011 Remastered Version,Pink Floyd,album rock,1979,104,0.39,0.69,-16,0.25,0.72,239000,0.08,0.04,72
32,33,YMCA - Original Version 1978,Village People,disco,1978,127,0.97,0.72,-5,0.12,0.73,287000,0.06,0.14,71
33,34,Take Me Home Country Roads,John Denver,adult standards,1971,82,0.4,0.46,-9,0.12,0.63,190000,0.76,0.03,70
34,35,Reelin' In The Years,Steely Dan,album rock,1972,135,0.76,0.52,-10,0.11,0.71,275000,0.12,0.04,70
35,36,Mandy,Barry Manilow,adult standards,1974,104,0.46,0.31,-9,0.14,0.32,213000,0.42,0.03,69
36,37,Everything I Own,Bread,adult standards,1972,79,0.34,0.37,-13,0.1,0.45,187000,0.74,0.03,69
37,38,Sailing,Rod Stewart,adult standards,1975,129,0.37,0.43,-10,0.32,0.19,278000,0.37,0.03,68
38,39,Detroit Rock City,KISS,album rock,1978,91,0.9,0.55,-7,0.29,0.46,216000,0.04,0.07,68
39,40,Let Your Love Flow,The Bellamy Brothers,country,1976,109,0.55,0.68,-15,0.14,0.95,199000,0.06,0.03,68
40,41,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,album rock,1974,118,0.44,0.48,-15,0.22,0.76,235000,0.0,0.04,68
41,42,Are You Ready For Love? - Remastered,Elton John,glam rock,2017,117,0.75,0.8,-5,0.11,0.75,212000,0.25,0.03,67
42,43,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,0.43,0.63,-16,0.11,0.95,264000,0.23,0.04,67
43,44,Fat Bottomed Girls - 2011 Remaster,Queen,glam rock,1978,89,0.68,0.33,-8,0.34,0.42,256000,0.03,0.05,67
44,45,Love Really Hurts Without You,Billy Ocean,dance rock,2016,141,0.9,0.52,-4,0.1,0.96,179000,0.0,0.03,66
45,46,Your Song,Elton John,glam rock,1990,128,0.33,0.55,-11,0.11,0.3,241000,0.78,0.03,66
46,47,Here You Come Again,Dolly Parton,classic country pop,1977,106,0.51,0.53,-9,0.04,0.56,179000,0.65,0.04,66
47,48,Move On Up,Curtis Mayfield,chicago soul,1970,139,0.97,0.54,-6,0.12,0.93,166000,0.42,0.09,66
48,49,Waterloo,ABBA,europop,1974,148,0.95,0.45,-5,0.09,0.65,169000,0.4,0.05,66
49,50,A Song for You,Donny Hathaway,chicago soul,1971,88,0.22,0.32,-13,0.25,0.07,326000,0.82,0.04,65
50,51,"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,adult standards,1976,114,0.3,0.34,-11,0.09,0.19,185000,0.93,0.03,65
51,52,Dancing Queen,ABBA,europop,2008,101,0.93,0.51,-4,0.56,0.68,231000,0.17,0.05,65
52,53,Can't You See,The Marshall Tucker Band,album rock,1973,164,0.71,0.41,-5,0.11,0.58,365000,0.28,0.03,65
53,54,Won't Get Fooled Again - Original Album Version,The Who,album rock,1971,135,0.92,0.69,-6,0.08,0.23,511000,0.3,0.06,65
54,55,Bennie And The Jets - Remastered 2014,Elton John,glam rock,1973,133,0.67,0.67,-8,0.5,0.78,323000,0.26,0.05,65
55,56,Sunny,Boney M.,disco,1976,122,0.87,0.65,-6,0.13,0.8,242000,0.09,0.11,64
56,57,It's A Shame,The Spinners,classic soul,1970,199,0.64,0.37,-12,0.12,0.71,190000,0.09,0.06,64
57,58,Voulez-Vous,ABBA,europop,1979,127,0.77,0.71,-7,0.17,0.9,309000,0.15,0.04,63
58,59,Goodbye Yellow Brick Road - Remastered 2014,Elton John,glam rock,1973,121,0.47,0.56,-8,0.15,0.4,193000,0.45,0.03,63
59,60,Since You Been Gone,Rainbow,album rock,1997,121,0.6,0.73,-10,0.6,0.94,198000,0.37,0.04,63
60,61,Sorry Seems To Be The Hardest Word,Elton John,glam rock,1976,118,0.22,0.37,-13,0.2,0.11,229000,0.83,0.03,62
61,62,You To Me Are Everything,The Real Thing,brit funk,1999,102,0.91,0.64,-8,0.08,0.82,210000,0.23,0.1,62
62,63,Please Mr. Postman,Carpenters,adult standards,1975,133,0.55,0.66,-12,0.24,0.96,173000,0.14,0.03,62
63,64,Stumblin' In - 2017 Remaster,Suzi Quatro,classic uk pop,1978,129,0.72,0.76,-11,0.35,0.92,240000,0.13,0.03,61
64,65,Lady Writer,Dire Straits,album rock,1979,148,0.81,0.63,-9,0.07,0.96,225000,0.1,0.03,61
65,66,Knowing Me Knowing You,ABBA,europop,1976,107,0.73,0.55,-7,0.24,0.91,242000,0.04,0.03,61
66,67,Ophelia - Remastered 2000,The Band,album rock,1975,92,0.68,0.83,-7,0.33,0.95,213000,0.68,0.03,61
67,68,I Will Survive - Extended Version,Gloria Gaynor,disco,2019,116,0.85,0.76,-5,0.27,0.59,197000,0.06,0.05,61
68,69,Sweet Virginia,The Rolling Stones,album rock,1972,107,0.74,0.48,-5,0.26,0.56,267000,0.5,0.04,60
69,70,The Way We Were,Barbra Streisand,adult standards,1974,138,0.32,0.26,-12,0.13,0.17,211000,0.89,0.03,60
70,71,September Earth, Wind & Fire,disco,2014,126,0.83,0.69,-7,0.25,0.98,215000,0.17,0.03,60
71,72,Doctor Doctor - 2007 Remaster,UFO,album rock,1974,143,0.8,0.3,-7,0.5,0.56,252000,0.0,0.05,60
72,73,Ain't No Mountain High Enough,Diana Ross,adult standards,2017,99,0.79,0.39,-5,0.38,0.38,215000,0.19,0.04,60
73,74,Baby Come Back,Player,soft rock,2007,157,0.57,0.65,-11,0.12,0.56,214000,0.05,0.11,59
74,75,Boulder to Birmingham - Remastered,Emmylou Harris,country rock,1975,126,0.32,0.48,-11,0.1,0.31,213000,0.78,0.03,59
75,76,S.O.S.,ABBA,europop,1975,125,0.71,0.42,-6,0.29,0.58,202000,0.25,0.03,59
76,77,Now That We Found Love,The O'Jays,classic soul,1973,114,0.65,0.72,-8,0.27,0.96,281000,0.25,0.04,59
77,78,Fire on the Mountain,The Marshall Tucker Band,album rock,1975,102,0.83,0.51,-6,0.16,0.57,236000,0.11,0.04,58
78,79,Lost in Music,Sister Sledge,dance pop,1979,114,0.84,0.76,-8,0.1,0.85,287000,0.05,0.03,58
79,80,You Make Me Feel Like Dancing,Leo Sayer,adult standards,1976,96,0.73,0.73,-5,0.11,0.71,221000,0.08,0.05,57
80,81,The Boss,Diana Ross,adult standards,1979,124,0.91,0.64,-4,0.21,0.83,241000,0.24,0.05,57
81,82,Come and Get Your Love,Redbone,native american,2003,106,0.79,0.67,-6,0.08,0.85,300000,0.13,0.05,56
82,83,Moviestar,Harpo,classic uk pop,1976,119,0.79,0.55,-8,0.33,0.71,202000,0.29,0.03,56
83,84,Easy Livin',Uriah Heep,album rock,1972,161,0.84,0.26,-7,0.28,0.46,157000,0.0,0.1,56
84,85,Three Times A Lady,Commodores,adult standards,2008,151,0.13,0.37,-17,0.14,0.2,215000,0.94,0.03,56
85,86,Living Next Door to Alice,Smokie,classic uk pop,1975,126,0.4,0.59,-15,0.25,0.78,208000,0.11,0.04,56
86,87,Dancing In The Moonlight,King Harvest,soft rock,1973,136,0.72,0.65,-5,0.41,0.68,178000,0.68,0.04,56
87,88,You Are Everything,Diana Ross,adult standards,1973,150,0.53,0.52,-10,0.14,0.5,190000,0.03,0.05,56
88,89,I Want You,Marvin Gaye,classic soul,1976,101,0.79,0.52,-10,0.24,0.74,274000,0.85,0.03,56
89,90,Love Comes To Everyone - 2004 Mix,George Harrison,album rock,1979,107,0.68,0.72,-9,0.05,0.51,276000,0.07,0.04,55
90,91,Rock Your Baby,George McCrae,disco,2001,104,0.77,0.59,-11,0.07,0.95,201000,0.31,0.04,55
91,92,The Shape I'm In - Remastered 2000,The Band,album rock,1970,128,0.67,0.72,-8,0.3,0.96,241000,0.24,0.04,54
92,93,Midnight Train to Georgia - Short Version,Gladys Knight & The Pips,adult standards,1973,177,0.42,0.44,-10,0.19,0.39,199000,0.07,0.08,53
93,94,Daddy Cool,Boney M.,disco,1994,125,0.63,0.75,-12,0.23,0.96,206000,0.25,0.04,53
94,95,Sad Eyes - Remastered,Robert John,soft rock,2002,107,0.46,0.43,-7,0.13,0.69,253000,0.6,0.03,53
95,96,I Feel Love - Edit,Donna Summer,dance pop,2018,126,0.91,0.66,-9,0.08,0.94,227000,0.03,0.04,52
96,97,Just Got Paid,ZZ Top,album rock,1972,100,0.69,0.57,-11,0.12,0.63,267000,0.29,0.04,52
97,98,Killer Queen - 2011 Mix,Queen,glam rock,1974,117,0.65,0.54,-6,0.13,0.61,180000,0.39,0.05,51
98,99,I'd Really Love to See You Tonight - 2012 Collection Remaster,England Dan,adult standards,2012,119,0.77,0.58,-5,0.17,0.67,158000,0.2,0.03,50
99,100,I Got Lucky,Elvis Presley,adult standards,1971,93,0.39,0.73,-12,0.2,0.96,116000,0.84,0.04,49
100,101,Baretta's Theme,Sammy Davis Jr.,adult standards,2002,105,0.91,0.64,-8,0.28,0.69,146000,0.35,0.06,48
101,102,One of These Days,Emmylou Harris,country rock,1975,125,0.39,0.66,-9,0.12,0.68,184000,0.45,0.03,46
102,103,My Heart Belongs to Me,Barbra Streisand,adult standards,1977,139,0.21,0.27,-16,0.18,0.3,201000,0.74,0.03,44
103,104,Telegram Sam,T. Rex,album rock,1972,123,0.94,0.52,-4,0.09,0.44,226000,0.02,0.12,40
0,1,Livin' On A Prayer,Bon Jovi,glam metal,1986,123,0.89,0.53,-4,0.29,0.8,249000,0.08,0.03,83
1,2,Africa,TOTO,album rock,1982,93,0.37,0.67,-18,0.05,0.73,296000,0.26,0.03,83
2,3,Another One Bites The Dust - Remastered 2011,Queen,glam rock,1980,110,0.53,0.93,-6,0.16,0.75,215000,0.11,0.16,82
3,4,Break My Stride,Matthew Wilder,new wave pop,1983,110,0.59,0.92,-11,0.09,0.83,184000,0.2,0.06,81
4,5,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,119,0.82,0.71,-9,0.09,0.87,291000,0.21,0.05,80
5,6,Summer Of '69,Bryan Adams,album rock,1984,139,0.83,0.51,-6,0.07,0.77,216000,0.02,0.04,80
6,7,You Give Love A Bad Name,Bon Jovi,glam metal,1986,123,0.96,0.54,-3,0.34,0.81,223000,0.07,0.05,80
7,8,Everybody Wants To Rule The World,Tears For Fears,dance rock,1985,112,0.8,0.65,-12,0.1,0.54,251000,0.35,0.05,80
8,9,I'm Still Standing,Elton John,glam rock,1983,177,0.9,0.5,-7,0.14,0.77,183000,0.36,0.18,79
9,10,Last Christmas,Wham!,dance rock,2019,108,0.58,0.74,-9,0.18,0.94,265000,0.19,0.03,78
10,11,Uptown Girl,Billy Joel,album rock,1983,129,0.94,0.7,-3,0.6,0.79,198000,0.07,0.05,77
11,12,Radio Ga Ga - 2011 Mix,Queen,glam rock,1984,112,0.5,0.74,-8,0.19,0.66,348000,0.18,0.04,76
12,13,Heaven,Bryan Adams,album rock,1984,140,0.59,0.38,-7,0.12,0.34,243000,0.05,0.03,76
13,14,9 to 5,Dolly Parton,classic country pop,1980,105,0.78,0.55,-6,0.63,0.81,162000,0.42,0.05,76
